no,pair_id,source,source_type,difficulty,turn_count,history,response,label
1,p0,v2,matched,,3,"선임: 진행하면서 새로 확인한 내용이 있어요.
나: 문제는 해결됐나요?
선임: 어제 배포한 버전은 현재까지 특이사항이 없습니다","오, 결과가 나왔군요. 어떤 과정으로 해결됐는지도 궁금합니다. 시간이나 준비해야 할 내용도 같이 바뀐 건 없나요?",적절
2,p1,v2,matched,,1,친구: 팀에서 내 역할이 자꾸 바뀌니까 내가 필요한 사람인지 모르겠어,계속 마음에 걸렸겠네. 지금 느끼는 걸 더 말해도 괜찮아. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,적절
3,p2,v2,matched,,1,아빠: 내일 병원에서 검사 결과를 듣는데 같이 가줄 수 있니?,"응, 몇 시까지 가면 되는지 알려줘. 시간 맞춰서 같이 갈게.",적절
4,p3,v2,matched,,2,"나: 아까부터 표정이 안 좋아 보이던데 무슨 일 있어?
연인: 지금은 혼자 해결하려 하지 말고 주변에 도움을 구해보려고 해","그래. 당장은 그 계획대로 해보고, 필요하면 다시 조정하자.",적절
5,p4,v2,matched,,3,"아빠: 이번 주 가족 모임 참석자 명단에 이모도 추가해줄래?
나: 응, 성함만 다시 알려줘.
아빠: 박정희로 추가하면 돼.","응, 명단에 추가하고 빠진 사람이 없는지도 다시 확인할게.",적절
6,p5,v2,matched,,1,동료: 역할 분담은 다음 회의에서 다시 정하는 것으로 하겠습니다,그럼 다음부터는 지금 합의한 방식으로 진행하죠. 지금은 추가로 바꿀 건 없어 보여.,적절
7,p6,v2,matched,,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
아빠: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 다음부터는 당사자와 먼저 상의할게.,적절
8,p7,v2,matched,,3,"엄마: 그러고 보니 얘기해줄 게 있어.
나: 그래서 어떻게 됐어?
엄마: 퇴근길에 노을이 예뻐서 사진을 한참 찍었어",직접 해보니 느낌이 달랐겠다. 그 뒤에 이어진 일도 있었는지 궁금하다. 사진도 찍었어? 실제로 본 색감이 더 예뻤겠다.,적절
9,p8,v2,matched,,4,"나: 어디서부터 시작해야 할지 막히셨나요?
동료: 어디서부터 시작해야 할지 감이 오지 않습니다.
나: 네, 조금 더 구체적으로 말씀해주세요.
동료: 일이 한꺼번에 겹쳤을 때 우선순위를 어떻게 정해야 할까요?","우선 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 그다음 결과를 보고 다음 단계를 정하면 됩니다.",적절
10,p9,v2,matched,,2,"나: 현재 기준으로 결정된 내용이 있나요?
팀장: 공사 때문에 주차장은 토요일 오전에 이용할 수 없대","응, 전달한 내용대로 알고 있을게. 일정이 가까워지면 한 번 더 확인하죠.",적절
11,p10,v2,matched,,4,"나: 진행하다가 막힌 부분이 있으신가요?
선배: 급한 건 아니지만 부탁 하나 드려도 될까요?
나: 네, 어떤 부분을 도와드리면 될까요?
선배: 회의 시간을 네 시로 변경해서 참석자들에게 알려주시겠어요?","네, 제가 대신 참석하고 주요 내용은 정리해서 공유드리겠습니다. 완료되면 결과를 같이 확인하죠.",적절
12,p11,v2,matched,,1,형: 병원 예약이 다음 주 화요일 오전 열 시로 잡혔어. 캘린더에 적어줄래?,"응, 인원과 시간 확인해서 예약해둘게. 혹시 문제가 생기면 먼저 말할게.",적절
13,p12,v2,matched,,2,"나: 그 뒤에 어떻게 됐는지 궁금했어.
아빠: 처음으로 자전거 타고 출근했는데 생각보다 할 만했어",생각보다 기억에 남는 일이었나 보네. 그 경험이 왜 기억에 남았는지 알고 싶어. 직접 해보니 힘든 점보다 좋았던 점이 더 컸어?,적절
14,p13,v2,matched,,2,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
엄마: 문제가 있으면 공개적으로 말하기 전에 나한테 먼저 알려주세요",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 요청한 부분만 정확히 반영할게.,적절
15,p14,v2,matched,,4,"나: 지난번에 물어본 건 답 왔어?
친구: 일정이 정해져서 미리 알려주려고 했어.
나: 그래, 현재 상황이 어떻게 돼?
친구: 그 내용은 다른 사람들에게도 공유해도 돼?","응, 그 내용은 공유해도 돼. 추가로 확인되는 게 있으면 이어서 알려줘.",적절
16,p15,v2,matched,,4,"나: 오늘 배포할 내용 남았어?
동생: 응, 수정한 화면을 QA 환경에 올려줄 수 있어?
나: 몇 시까지 필요해?
동생: 세 시 전까지면 돼.","응, 두 시 반까지 올리고 동작 확인도 한 번 해볼게.",적절
17,p16,v2,matched,,2,"나: 확인해드릴 내용이 있나요?
팀장: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 필요한 시간에 맞춰둘게.",적절
18,p17,v2,matched,,2,"나: 아까 고민되는 게 있다고 했지?
오빠: 김치냉장고에서 소리가 나는데 바로 서비스센터에 연락해야 할까?",내 생각에는 평소와 다른 큰 소리가 계속 나면 모델명과 소리가 나는 상황을 적어두고 서비스센터에 문의하는 게 안전해. 해결되지 않으면 조건을 하나씩 빼면서 원인을 좁혀봐.,적절
19,p18,v2,matched,,1,선임: 회의 자료의 수치와 원본 데이터를 대조해주실 수 있을까요?,"네, 제가 대신 참석하고 주요 내용은 정리해서 공유드리겠습니다. 빠뜨리지 않도록 메모해두겠습니다.",적절
20,p19,v2,matched,,1,연인: 요즘 야근이 계속돼서 생활 리듬이 완전히 깨졌어.,계속 제대로 못 쉬었구나. 오늘은 일 생각 잠깐 내려놓고 일찍 쉬자.,적절
