no,pair_id,source_type,label,persona,scenario,turn_count,history,response,orig_no_history,orig_no_response,orig_reason
1,p0,matched,적절,직장 관계(상사·동료),업무 대화,3,"선임: 진행하면서 새로 확인한 내용이 있어요.
나: 문제는 해결됐나요?
선임: 어제 배포한 버전은 현재까지 특이사항이 없습니다","오, 결과가 나왔군요. 어떤 과정으로 해결됐는지도 궁금합니다. 시간이나 준비해야 할 내용도 같이 바뀐 건 없나요?",3,3,P4
2,p1,matched,적절,친구,고민·감정 상담,1,친구: 팀에서 내 역할이 자꾸 바뀌니까 내가 필요한 사람인지 모르겠어,계속 마음에 걸렸겠네. 지금 느끼는 걸 더 말해도 괜찮아. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,4,4,P4
3,p2,matched,적절,부모님,질문·요청,1,아빠: 내일 병원에서 검사 결과를 듣는데 같이 가줄 수 있니?,"응, 몇 시까지 가면 되는지 알려줘. 시간 맞춰서 같이 갈게.",8,8,P2
4,p3,matched,적절,연인,고민·감정 상담,2,"나: 아까부터 표정이 안 좋아 보이던데 무슨 일 있어?
연인: 지금은 혼자 해결하려 하지 말고 주변에 도움을 구해보려고 해","그래. 당장은 그 계획대로 해보고, 필요하면 다시 조정하자.",9,9,P5
5,p4,matched,적절,부모님,질문·요청,3,"아빠: 이번 주 가족 모임 참석자 명단에 이모도 추가해줄래?
나: 응, 성함만 다시 알려줘.
아빠: 박정희로 추가하면 돼.","응, 명단에 추가하고 빠진 사람이 없는지도 다시 확인할게.",12,12,P2
6,p5,matched,적절,직장 관계(상사·동료),갈등 상황,1,동료: 역할 분담은 다음 회의에서 다시 정하는 것으로 하겠습니다,그럼 다음부터는 지금 합의한 방식으로 진행하죠. 지금은 추가로 바꿀 건 없어 보여.,13,13,P5
7,p6,matched,적절,부모님,갈등 상황,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
아빠: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 다음부터는 당사자와 먼저 상의할게.,16,16,P2
8,p7,matched,적절,부모님,일상 대화,3,"엄마: 그러고 보니 얘기해줄 게 있어.
나: 그래서 어떻게 됐어?
엄마: 퇴근길에 노을이 예뻐서 사진을 한참 찍었어",직접 해보니 느낌이 달랐겠다. 그 뒤에 이어진 일도 있었는지 궁금하다. 사진도 찍었어? 실제로 본 색감이 더 예뻤겠다.,17,17,P4
9,p8,matched,적절,직장 관계(상사·동료),고민·감정 상담,4,"나: 어디서부터 시작해야 할지 막히셨나요?
동료: 어디서부터 시작해야 할지 감이 오지 않습니다.
나: 네, 조금 더 구체적으로 말씀해주세요.
동료: 일이 한꺼번에 겹쳤을 때 우선순위를 어떻게 정해야 할까요?","우선 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 그다음 결과를 보고 다음 단계를 정하면 됩니다.",19,19,P3
10,p9,matched,적절,직장 관계(상사·동료),정보 공유,2,"나: 현재 기준으로 결정된 내용이 있나요?
팀장: 공사 때문에 주차장은 토요일 오전에 이용할 수 없대","응, 전달한 내용대로 알고 있을게. 일정이 가까워지면 한 번 더 확인하죠.",20,20,P5
