no,pair_id,turn_count,history,response,label
1,P001,3,"친구: 요즘 계속 내가 먼저 연락하는 것 같아서 조금 지쳐.
나: 어떤 점이 가장 서운했어?
친구: 약속을 잡을 때도 늘 내가 먼저 물어보는 게 힘들어.",그럼 당분간 네가 먼저 연락하지 말고 상대가 어떻게 하는지 지켜봐.,적절
2,P001,3,"친구: 요즘 계속 내가 먼저 연락하는 것 같아서 조금 지쳐.
나: 어떤 점이 가장 서운했어?
친구: 약속을 잡을 때도 늘 내가 먼저 물어보는 게 힘들어.",오늘 저녁에 치킨 시킬 건데 양념이 나을까 후라이드가 나을까?,부적절
3,P002,3,"동료: 방금 공유한 파일에서 숫자가 하나 다르게 보여요.
나: 어느 부분인지 알려주세요.
동료: 매출 합계가 원본보다 20만 원 크게 잡혔어요.",확인해볼게요. 합계 수식과 원본 범위를 먼저 비교하겠습니다.,적절
4,P002,3,"동료: 방금 공유한 파일에서 숫자가 하나 다르게 보여요.
나: 어느 부분인지 알려주세요.
동료: 매출 합계가 원본보다 20만 원 크게 잡혔어요.",저는 고양이보다 강아지가 더 귀엽다고 생각해요.,부적절
5,P003,3,"형: 내가 놓친 게 있는지 봐줬으면 해.
나: 그래, 내가 할 수 있는 건지 말해줘.
형: 이 얘기를 어디서부터 풀어야 할지 모르겠어. 조금만 들어줘.",지금은 좀 바빠. 나중에 이야기하자. 지금은 길게 듣기 어려워.,적절
6,P003,3,"형: 내가 놓친 게 있는지 봐줬으면 해.
나: 그래, 내가 할 수 있는 건지 말해줘.
형: 이 얘기를 어디서부터 풀어야 할지 모르겠어. 조금만 들어줘.",그러고 보니 이번 주말 비 온대? 우산 챙겨야겠다.,부적절
7,P004,3,"친구: 내 입장도 한번 설명하고 싶어.
나: 응, 네 입장부터 말해봐.
친구: 늦어질 때 한마디라도 남겨줄 수 있어?",기본적인 것도 왜 매번 설명해줘야 해? 그래도 다음부터는 늦으면 연락할게.,적절
8,P004,3,"친구: 내 입장도 한번 설명하고 싶어.
나: 응, 네 입장부터 말해봐.
친구: 늦어질 때 한마디라도 남겨줄 수 있어?",요즘 휴대폰 배터리가 너무 빨리 닳더라.,부적절
9,P005,3,"팀원: 오늘 안에 화면 수정까지 끝낼 수 있을까요?
나: 남은 작업이 얼마나 돼요?
팀원: 버튼 위치와 문구만 바꾸면 됩니다.",그 정도면 오늘 안에 가능할 것 같아요. 수정 후 바로 공유할게요.,적절
10,P005,3,"팀원: 오늘 안에 화면 수정까지 끝낼 수 있을까요?
나: 남은 작업이 얼마나 돼요?
팀원: 버튼 위치와 문구만 바꾸면 됩니다.",저는 매운 음식을 잘 못 먹어서 떡볶이는 순한 맛으로 먹어요.,부적절
11,P006,3,"엄마: 병원 예약 날짜가 언제였지?
나: 문자 확인해볼게.
엄마: 다음 주였던 것 같은데 정확히 기억이 안 나.",문자 보니까 다음 주 수요일 오전 10시야.,적절
12,P006,3,"엄마: 병원 예약 날짜가 언제였지?
나: 문자 확인해볼게.
엄마: 다음 주였던 것 같은데 정확히 기억이 안 나.",냉장고에 우유가 거의 다 떨어졌어.,부적절
13,P007,3,"친구: 면접 결과가 아직 안 와서 계속 신경 쓰여.
나: 안내받은 발표일은 지났어?
친구: 어제까지 준다고 했는데 연락이 없어.",하루 정도 더 기다려보고 내일 담당자에게 정중히 문의해보는 게 좋겠다.,적절
14,P007,3,"친구: 면접 결과가 아직 안 와서 계속 신경 쓰여.
나: 안내받은 발표일은 지났어?
친구: 어제까지 준다고 했는데 연락이 없어.",지난번에 본 영화 결말이 좀 아쉽더라.,부적절
15,P008,3,"선배: 발표 자료에서 핵심 기능 설명이 너무 길어 보여.
나: 어느 부분을 줄이면 좋을까요?
선배: 구현 과정은 줄이고 결과를 앞에 두는 게 좋겠어.",알겠습니다. 결과를 먼저 보여주고 구현 과정은 핵심만 남길게요.,적절
16,P008,3,"선배: 발표 자료에서 핵심 기능 설명이 너무 길어 보여.
나: 어느 부분을 줄이면 좋을까요?
선배: 구현 과정은 줄이고 결과를 앞에 두는 게 좋겠어.",저는 아침마다 알람을 세 개씩 맞춰놔요.,부적절
17,P009,3,"연인: 오늘 연락이 늦어서 걱정했어.
나: 미안해, 회의가 길어졌어.
연인: 늦어질 것 같으면 미리 말해주면 좋겠어.",알겠어. 다음부터는 회의 들어가기 전에 늦을 수 있다고 남길게.,적절
18,P009,3,"연인: 오늘 연락이 늦어서 걱정했어.
나: 미안해, 회의가 길어졌어.
연인: 늦어질 것 같으면 미리 말해주면 좋겠어.",근처에 새로 생긴 카페가 사진이 잘 나온대.,부적절
19,P010,3,"고객: 주문한 상품이 아직 도착하지 않았어요.
나: 주문번호를 확인해주시겠어요?
고객: 20260730-1582입니다.",배송 상태를 조회해보고 지연 사유와 예상 도착일을 안내드리겠습니다.,적절
20,P010,3,"고객: 주문한 상품이 아직 도착하지 않았어요.
나: 주문번호를 확인해주시겠어요?
고객: 20260730-1582입니다.",여름에는 역시 냉면이 제일 맛있는 것 같아요.,부적절
21,P011,3,"친구: 내가 어제 말이 너무 심했던 것 같아.
나: 어떤 말을 했는데?
친구: 화가 나서 다시는 보지 말자고 했어.",그 말이 진심이 아니었다면 감정이 가라앉은 뒤 솔직하게 사과해봐.,적절
22,P011,3,"친구: 내가 어제 말이 너무 심했던 것 같아.
나: 어떤 말을 했는데?
친구: 화가 나서 다시는 보지 말자고 했어.",내 운동화 끈이 자꾸 풀려서 불편해.,부적절
23,P012,3,"팀장: 현재 모델 정확도가 어느 정도인가요?
나: 검증 결과를 정리하고 있습니다.
팀장: 오늘 회의 전에 대략적인 수치라도 알려주세요.","현재 검증셋 기준 약 82%이고, 세부 지표는 회의 전에 정리해 공유하겠습니다.",적절
24,P012,3,"팀장: 현재 모델 정확도가 어느 정도인가요?
나: 검증 결과를 정리하고 있습니다.
팀장: 오늘 회의 전에 대략적인 수치라도 알려주세요.",회의실 에어컨이 너무 세서 추운 것 같아요.,부적절
