no,persona,scenario,turn_count,history,response,label,reason,reason_detail,axis
1,친구,고민·감정 상담,3,"친구: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 응, 네 입장부터 말해봐.
친구: 계속 내가 먼저 연락하는 것 같아서 관계가 한쪽으로 기운 느낌이야",그것도 제대로 판단을 못 해? 이제는 핑계도 지겹다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
2,연인,갈등 상황,1,연인: 내가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러워요,항상 이런 식으로 일을 복잡하게 만드네. 조금이라도 미안한 줄은 알아?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
3,직장 관계(상사·동료),업무 대화,3,"선임: 진행하면서 새로 확인한 내용이 있어요.
나: 문제는 해결됐나요?
선임: 어제 배포한 버전은 현재까지 특이사항이 없습니다","오, 결과가 나왔군요. 어떤 과정으로 해결됐는지도 궁금합니다. 시간이나 준비해야 할 내용도 같이 바뀐 건 없나요?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
4,친구,고민·감정 상담,1,친구: 팀에서 내 역할이 자꾸 바뀌니까 내가 필요한 사람인지 모르겠어,계속 마음에 걸렸겠네. 지금 느끼는 걸 더 말해도 괜찮아. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
5,선후배,갈등 상황,2,"나: 아까 회의에서 네 의견을 충분히 못 들은 것 같아. 불편했어?
후배: 네, 제 의견을 묻지 않고 결정된 게 조금 서운했어요.",그 정도 일은 누구나 겪어. 너무 예민하게 받아들이지 마.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
7,형제·자매,고민·감정 상담,3,"오빠: 내가 놓친 게 있는지 봐줬으면 해.
나: 그래, 내가 할 수 있는 건지 말해줘.
오빠: 이 얘기를 어디서부터 풀어야 할지 모르겠어. 조금만 들어줘",지금은 좀 바빠. 나중에 보자. 지금은 답하기 어려워.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
8,부모님,질문·요청,1,아빠: 내일 병원에서 검사 결과를 듣는데 같이 가줄 수 있니?,"응, 몇 시까지 가면 되는지 알려줘. 시간 맞춰서 같이 갈게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
9,연인,고민·감정 상담,2,"나: 아까부터 표정이 안 좋아 보이던데 무슨 일 있어?
연인: 지금은 혼자 해결하려 하지 말고 주변에 도움을 구해보려고 해","그래. 당장은 그 계획대로 해보고, 필요하면 다시 조정하자.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
10,친구,질문·요청,3,"친구: 내 입장도 한번 설명하고 싶어.
나: 응, 네 입장부터 말해봐.
친구: 늦어질 때 한마디라도 남겨줄 수 있어?",기본적인 것도 왜 매번 설명해줘야 해? 그런 태도로 누가 널 이해해주겠어?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
12,부모님,질문·요청,3,"아빠: 이번 주 가족 모임 참석자 명단에 이모도 추가해줄래?
나: 응, 성함만 다시 알려줘.
아빠: 박정희로 추가하면 돼.","응, 명단에 추가하고 빠진 사람이 없는지도 다시 확인할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
